iter	Passed	Remaining
0	0	64
1	1	71
2	2	87
3	3	95
4	5	102
5	7	111
6	8	113
7	10	116
8	11	116
9	12	115
10	14	114
11	15	112
12	16	112
13	18	111
14	19	112
15	21	111
16	22	109
17	24	110
18	25	108
19	26	106
20	28	106
21	29	104
22	31	103
23	32	102
24	33	101
25	35	101
26	37	101
27	39	100
28	41	100
29	42	100
30	44	99
31	46	98
32	48	97
33	50	97
34	51	96
35	53	95
36	55	93
37	56	92
38	58	91
39	59	89
40	61	88
41	62	85
42	64	84
43	65	83
44	67	82
45	68	80
46	73	82
47	74	80
48	75	78
49	77	77
50	78	75
51	80	74
52	82	73
53	84	71
54	85	69
55	86	67
56	88	66
57	90	65
58	92	64
59	93	62
60	95	61
61	97	59
62	99	58
63	101	56
64	103	55
65	105	54
66	107	52
67	108	51
68	110	49
69	112	48
70	114	46
71	116	45
72	118	43
73	120	42
74	122	40
75	124	39
76	126	37
77	127	36
78	129	34
79	130	32
80	132	31
81	133	29
82	135	27
83	137	26
84	138	24
85	140	22
86	141	21
87	142	19
88	144	17
89	145	16
90	147	14
91	148	12
92	150	11
93	151	9
94	153	8
95	154	6
96	156	4
97	157	3
98	158	1
99	159	0
